time,event,p1,p2
17.19461021967675,1,19,463.0
17.202528607943588,9,319,
17.227070693989624,10,293,
17.240808762741985,1,441,312.0
17.258773139599374,9,270,
17.265706826050582,1,321,248.0
17.270163983853017,4,25,427.0
17.276879525983542,10,467,
17.277947565035173,10,327,
17.280319055846682,10,441,
17.291409612387,1,274,233.0
17.3016498779906,2,264,
17.301702046394844,1,417,103.0
17.3249067474827,1,410,104.0
17.33515326554113,2,424,
17.33877760270288,1,173,115.0
17.348896085017135,10,35,
17.35242246567761,1,229,196.0
17.353935559655277,2,452,
17.36022311585496,1,272,490.0
17.36509389782522,10,180,
17.366438745430333,10,464,
17.367474878376143,10,335,
17.38479533670731,1,377,104.0
17.389784383222942,6,205,310.0
17.407266603889134,1,351,54.0
17.41955104182667,10,125,
17.45688681410055,9,367,
17.459414375877632,1,185,180.0
17.469426629598566,1,347,441.0
17.470362030714703,1,175,259.0
17.477362376097002,1,238,109.0
17.48499294845031,1,334,132.0
17.487574678962943,1,470,464.0
17.492819218950515,2,111,
17.493136278619215,1,323,263.0
17.50318406538633,1,201,156.0
17.506337191293117,10,471,
17.524015820449023,1,32,196.0
17.553141131302638,9,475,
17.555280242959693,1,112,104.0
17.557742700569335,10,72,
17.56276386171604,10,147,
17.57475522630959,2,372,
17.57870511945876,3,347,357.0
17.600801476478622,10,483,
17.630420066383287,1,342,461.0
17.64370539078886,1,199,213.0
17.66894125476739,2,379,
17.70182313633874,1,31,436.0
17.70868482668086,3,227,26.0
17.714861493061093,10,79,
17.717637178653927,2,30,
17.72377979624394,1,458,471.0
17.792250094619124,10,469,
17.792622395975613,2,151,
17.81487634190221,1,330,327.0
17.829921766725334,10,318,
17.86688299034378,3,61,26.0
17.872412392678577,2,345,
17.873204060379024,1,244,312.0
17.89555474423459,2,23,
17.93498872450103,1,234,248.0
17.945311184701662,1,102,392.0
17.95258640472984,1,365,329.0
17.954799569833263,1,295,136.0
17.960808817999105,10,69,
17.969389825502258,1,381,467.0
17.997657375105415,9,247,
17.997971349240903,10,238,
18.01644028524185,1,457,259.0
18.022186171066398,1,191,441.0
18.02427618897182,9,348,
18.024358866677613,3,479,443.0
18.025958076230697,2,196,
18.028795871736644,3,307,448.0
18.033425354463585,1,260,115.0
18.038561531791757,2,49,
18.054662243764472,1,290,350.0
18.068291462557777,1,307,213.0
18.08131491360651,9,363,
18.113677350809944,2,97,
18.114646468099078,1,344,363.0
18.125723650440406,1,215,461.0
18.126256088408102,10,344,
18.13888353521828,1,411,348.0
18.150856626297166,7,283,90.0
18.17727766534635,10,235,
18.184489849964553,2,366,
18.186211206863,1,108,115.0
18.189438586432573,3,433,28.0
18.201684613056738,1,202,136.0
18.203340013092863,1,282,427.0
18.219799705256655,9,403,
18.228364356680533,9,362,
18.23293763404703,1,107,132.0
18.233354159358736,1,438,464.0
18.236278510600705,1,343,469.0
18.242411029578882,1,371,475.0
18.27099047515562,1,43,6.0
18.276115995742586,1,41,93.0
18.293629449852126,1,62,247.0
18.308074561909034,1,418,441.0
18.310884643415783,2,259,
18.315836518069723,9,273,
18.324218632990338,1,198,160.0
18.34902931151599,1,119,442.0
18.34911949442084,10,260,
18.390583172664808,1,406,109.0
18.400172409035246,1,478,180.0
18.40504054704267,1,87,318.0
18.407422531341354,1,339,238.0
18.43061224715021,10,223,
18.44481043029314,2,293,
18.453333679894605,10,161,
18.466178337195956,9,487,
18.475053145244026,1,186,72.0
18.49544672322964,1,154,349.0
18.496028672481174,2,156,
18.515652782065946,10,117,
18.52062332236948,1,190,35.0
18.52290343486574,2,490,
18.548692377511298,10,357,
18.55468055896041,10,326,
18.560622597471117,1,443,55.0
18.560698804945083,10,311,
18.57625885272049,10,12,
18.576773288211307,10,146,
18.601792590692753,2,150,
18.604959120275918,10,226,
18.612938574341186,1,8,213.0
18.616435295940043,1,320,145.0
18.618763886541913,6,297,455.0
18.641695167776348,10,84,
18.665669888852285,1,465,79.0
18.680027058329102,10,253,
18.705073422341915,10,48,
18.724544662343263,1,397,48.0
18.741634365716653,10,184,
18.743106237926803,1,447,464.0
